# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\mario2.png	255	255	255
2	textures\black.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\backGround.png	255	128	192
40	textures\scence1.png	255	128	192
50	textures\Item&MicsBlock.png	166	185	255
60	textures\map.png	156	252	240
70	textures\enemies-2.png	0	128	128
80	textures\enemy3.png	255	255	255
90	textures\ITEM.png	166	185	255
100	textures\enemies-2.png	0	128	128
110	textures\enemies-3.png	0	130	130
120	textures\GoalRoulette.png	0	183	239
130	textures\beginScence.png	34	177	76
140	textures\beginBrick.png	34	177	76
150	textures\yelloBackround.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#NOTHING
090909 	0	0	0	0	0
# 							BIG MARIO 
# idle right
10001	246	154	260	181	0
# idle left
10011	186	154	200	181	0
# walk right 
10002	275	154	290	181	0		
10003	304	154	321	181	0
#run right
10004	334	154	353	181	0
10005	362	154	381	181	0
10006	392	154	411	181	0
#idle run right
10007	425	154	441	182	0
#jump right
10008	395	275	411	301	0

#walk left
10012	155	154	170	181	0
10013	125	154	140	181	0
#run left
10014	93	154	112	181	0
10015	65	154	84	181	0
10016	35	155	54	181	0
#idle run left 
10017	5	154	21	181	0
#jump left
10018	35	275	51	301	0
#hold koopa 
#idle left 
100101	249	93	263	120	1
#idle right 
100102	793	94	807	121	1
#walk left 
100103	267	93	282	120	1
100104	285	93	301	119	1
#walk right 
100105	774	94	789	121	1
100106	755	94	771	120	1
#jump left 
100107	285	93	301	119	1
#jump right
100108	755	94	771	120	1

# die 
10099	215	120	231	135	0

# 											SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#brake left 
10034	426	0	440	16	0
#brake right 
10035	6	0	20	16	0
#jump left
10036	397	0	410	16	0
#jump right
10037	36	0	49	16	0
# 												TAIL MARIO 
#back Static
10049	401	350	417	378	1
#static
10050	215	633	231	662	0
#idle tail right
10051	1034	351	1056	379	1
#idle tail left
10052	1	350	24	378	1
#walk right
10053	1007	351	1030	378	1
10054	980	351	1004	378	1

#walk left
10055	27	350	50	378	1
10056	53	350	76	377	1

#jump right
10057	928	351	954	378	1
#jump left
10058	105	350	128	377	1

#brake right
10059	701	349	718	379	1
#brake left
10060	339	348	355	378	1

#fly tail left top
10061	313	350	338	377	1

#fly tail left bottom
10062	261	350	287	378	1

#fly tail right top
10063	719	351	741	378	1

#fly tail right bottom
10064	771	351	793	379	1

#turning left
10065	91	634	115	662	0
#turning right
10066	331	634	355	662	0
#runleft
10067	183	350	207	378	1
10068	209	350	233	378	1
10069	235	350	259	377	1

#run right 
10070	849	351	873	379	1
10071	823	351	847	379	1
10072	797	351	820	378	1

# is jumping left 
10073	131	350	154	377	1
10074	157	350	179	378	1
# is jum right 
10075	902	351	925	378	1
10076	877	351	899	378	1
#spin left 
10077	375	350	398	378	1
#spin right 
10078	658	351	681	379	1
#									FIRE MARIO 
#static
10079	213	265	229	292	1
#idle left
10080	1	265	15	292	1
#idle right 
10081	1041	266	1055	293	1
#walk left
10082	19	265	35	292	1
10083	37	265	53	292	1
#walk right 
10084	1021	266	1037	293	1
10085	1003	266	1019	293	1
#run left 
10086	91	265	110	292	1
10087	117	265	136	292	1
10088	143	265	162	291	1
#run right 
10089	946	266	965	293	1
10090	920	266	939	293	1
10091	894	266	913	292	1
#brake left 
10092	195	264	211	292	1
#brake right 
10093	845	265	861	293	1
#jump left 
10094	73	265	89	291	1
#jump right 
10095	967	266	983	292	1
#fire left 
10096	209	299	223	326	1
#fire right 
10097	833	300	847	327	1

#newBrick
90001	28	135	44	151	130
90002	56	135	72	151	130
90003	28	155	44	171	130
90004	0	0	386	253	140
#90004	23	82	37	90	130
#bigTree
100001	138	1	153	17	30
100002	154	1	169	17	30
100003	137	18	153	34	30
100004	154	18	170	34	30
100005	137	35	153	51	30
100006	154	35	170	51	30
100007	137	52	153	68	30 

#===========GREEN MARIO
#idle left
20001	1	179	15	206	1
#idle right 
20002	1041	180	1055	207	1
#walk left
20003	19	179	35	206	1
#walk right
20004	1021	180	1037	207	1
#run left 
20005	37	179	53	205	1
#run right 
20006	1003	180	1019	206	1
#sit left 
20007	55	188	69	206	1
#sit right 
20008	987	189	1001	207	1
#jump left 
20009	73	179	89	205	1
#jump right 
20010	967	180	983	206	1
#backround 
#BLACK
260003	0	0	400	400	2
#YELLO
260004	0	0	400	250	150
#begin scence 
280001	258	0	515	224	130
#SupermarioTEXT
290001	295	71	474	143	130
#THREE 
300001	12	19	54	60	130
300002	58	19	100	60	130
300003	105	19	147	60	130
300004	151	19	193	60	130
300005	202	19	244	60	130
#narutomaki -big =1 - small =2
310001	134	139	166	155	130
310002	169	143	185	151	130
#TEXT menu 
320001	270	170	373	180	130
320002	270	186	373	196	130
#red arrow 
320003	261	171	268	179	130

#backround 
999999	0	0	0	0	1
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#NOTHING
0909	090909	100

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#brake left small
504	10034	100
#brake right small
505	10035	100
#jump left small
506	10036	100
#jump right small
507	10037	100
#die
599	10099	100
#run right big
404	10004	100	10005	100	10006	100
#brake right big 
405	10007	100
#run left big
406	10014	100	10015	100	10016	100
#brake left big
407	10017	100
#jump right big
408	10008	100
#jump left big
409	10018	100
#hold koopa
#idle left 
438	100101	100
#idle right 
439	100102	100
#walk left 
440	100103	100	100104	100
#walk right 
441	100105	100	100106	100
#jump left 
442	100107	100
#jump right
443	100108	100


#=====TAIL MARIO+++++++
#static 
410	10050	100 
#idle left
411	10052	100
#idle right
412	10051	100
#walk right 
413	10053	100	10054	100	10070	100
#walk left 
414	10055	100	10056	100	10067	100
#jump left 
415	10058	100
#jump right 
416	10057	100
#brake left 
417	10059	100
#brake right 
418	10060	100
#fly_left
419	10061	100	10062	100
#fly right 
420	10063	100	10064	100
#runleft
421	10068	100	10069	100
#run right 
422	10071	100	10072	100
#is jumping left 
423	10073	100	10074	100
#jum right 
424	10075	100	10076	100
#spin left
425	10049	50	10077	80	10050	50	10078	80
#spin right
426	10049	50	10078	80	10050	50	10077	80
#				FIRE MARIO 
#static
427	10079	100
#idle left
428	10080	100
#idle right 
429	10081	100
#walk left
430	10082	100	10083	100
#walk right 
431	10084	100	10085	100
#run left 
432	10086	100	10087	100	10088	100
#run right 
433	10089	100	10090	100	10091	100
#brake left 
434	10092	100
#brake right 
435	10093	100
#jump left 
436	10094	100
#jump right 
437	10095	100
#fire 
#fire left
444	10096	100
#fire right 
445	10097	100

#===new brick 
901	90001	100
902	90002	100
903	90003	100
904	90004	100


# ==== BIGTREE=========
1001	100001	100
1002	100002	100
1003	100003	100
1004	100004	100
1005	100005	100
1006	100006	100
1007	100007	100

#===========GREEN MARIO
#idle left
2001	20001	100
#idle right 
2002	20002	100
#walk left
2003	20003	100	20001	100
#walk right
2004	20004	100	20002	100
#run left 
2005	20005	80	20003	80	20001	80
#run right 
2006	20006	80	20004	80	20002	80
#sit left 
2007	20007	100
#sit right 
2008	20008	100
#jump left 
2009	20009	100
#jump right 
2010	20010	100

#black backround
26003	260003	100
#yello 
26004	260004	100
#BEGINNNNNNN
2801	280001	100 
#SupermarioTEXT
2901	290001	100
#THREE 
3001	300001	100	300002	100	300003	100	300004	100	300005	100
#narutomaki -big =1 - small =2
3101	310001	100
3102	310002	100
#TEXT menu 
3201	320001	100
3202	320002	100
#red arrow 
3203	320003	100
#backround
9999	999999	100
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#NOTHING 
09099	0909
# MARIO
1	400	401	402	403	500	501	502	503	599	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	504	505	506	507	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
#1	400	401	402	403	500	501	502	503	504	505	506	507	599

# new Brick
9001	901
9002	902
9003	903
9004	904


#BIGTREE
10001	1001
10002	1002
10003	1003
10004	1004
10005	1005
10006	1006
10007	1007
#BEGIN BACKROUND 
2603	26003	26004
#BEGINNNNNNN
28001	2801
#SupermarioTEXT
29001	2901
#THREE 
30001	3001
30002	3002
#narutomaki -big =1 - small =2
31001	3101
31002	3102
#TEXT menu 
32001	3201
32002	3202
#red arrow 
32003	3203
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	2700	170	0909	2725	190	2

#backround 
4	0	0	2603	0	2

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
#Bigtree1
4	17	187	10001
4	16	203	10003
4	16	219	10003
4	16	235	10003
4	32	187	10002
4	32	203	10004
4	32	219	10006
4	32	235	10007
4	46	219	10002
4	46	235	10004

4	338	235	10001
4	353	187	10001
4	352	203	10003
4	352	219	10003
4	353	235	10005
4	369	155	10001
4	368	171	10003
4	368	187	10005
4	368	203	10007
4	368	219	10007
4	368	235	10007

4	384	155	10002
4	384	171	10004
4	384	187	10004
4	384	203	10004
4	384	219	10004
4	384	235	10004

#brick
1	0	250	9001
1	16	250	9002
1	32	250	9001
1	48	250	9002
1	64	250	9001
1	80	250	9002
1	96	250	9001
1	112	250	9002
1	128	250	9001
1	144	250	9002
1	160	250	9001
1	176	250	9002
1	192	250	9001
1	208	250	9002
1	224	250	9001
1	240	250	9002
1	256	250	9001
1	272	250	9002
1	288	250	9001
1	304	250	9002
1	320	250	9001
1	336	250	9002
1	352	250	9001
1	368	250	9002
1	384	250	9001


1	16	263	9003
1	48	263	9003
1	80	263	9003
1	112	263	9003
1	144	263	9003
1	176	263	9003
1	208	263	9003
1	240	263	9003
1	272	263	9003
1	304	263	9003
1	336	263	9003
1	368	263	9003

4	15	0	9004	1
4	120	-200	29001	2
4	200	-127	30001	2
4	100	-230	31001	2
4	300	-230	31001	2
4	75	-165	31002	2
4	165	-70	32001	2
4	165	-50	32002	2
4	145	-70	32003	2
# MARIO
0	15	200	1	1	1
# GREEN MARIO
0	15	200	1	2	2
