# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\mario2.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\backGround.png	255	128	192
40	textures\scence1.png	255	128	192
50	textures\Item&MicsBlock.png	166	185	255
60	textures\map.png	156	252	240
70	textures\enemies-2.png	0	128	128
80	textures\enemy3.png	255	255	255
90	textures\ITEM.png	166	185	255
100	textures\enemies-2.png	0	128	128
110	textures\enemies-3.png	0	130	130
120	textures\GoalRoulette.png	0	183	239
130	textures\HUBAndFont.png	81	255	191
140	textures\black.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#NOTHING
090909 	0	0	0	0	0
# 							BIG MARIO 
# idle right
10001	246	154	260	181	0
# idle left
10011	186	154	200	181	0
# walk right 
10002	275	154	290	181	0		
10003	304	154	321	181	0
#run right
10004	334	154	353	181	0
10005	362	154	381	181	0
10006	392	154	411	181	0
#idle run right
10007	425	154	441	182	0
#jump right
10008	395	275	411	301	0

#walk left
10012	155	154	170	181	0
10013	125	154	140	181	0
#run left
10014	93	154	112	181	0
10015	65	154	84	181	0
10016	35	155	54	181	0
#idle run left 
10017	5	154	21	181	0
#jump left
10018	35	275	51	301	0
#hold koopa 
#idle left 
100101	249	93	263	120	1
#idle right 
100102	793	94	807	121	1
#walk left 
100103	267	93	282	120	1
100104	285	93	301	119	1
#walk right 
100105	774	94	789	121	1
100106	755	94	771	120	1
#jump left 
100107	285	93	301	119	1
#jump right
100108	755	94	771	120	1

# die 
10099	215	120	231	135	0

# 											SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#brake left 
10034	426	0	440	16	0
#brake right 
10035	6	0	20	16	0
#jump left
10036	397	0	410	16	0
#jump right
10037	36	0	49	16	0
# 												TAIL MARIO 
#back Static
10049	401	350	417	378	1
#static
10050	215	633	231	662	0
#idle tail right
10051	1034	351	1056	379	1
#idle tail left
10052	1	350	24	378	1
#walk right
10053	1007	351	1030	378	1
10054	980	351	1004	378	1

#walk left
10055	27	350	50	378	1
10056	53	350	76	377	1

#jump right
10057	928	351	954	378	1
#jump left
10058	105	350	128	377	1

#brake right
10059	701	349	718	379	1
#brake left
10060	339	348	355	378	1

#fly tail left top
10061	313	350	338	377	1

#fly tail left bottom
10062	261	350	287	378	1

#fly tail right top
10063	719	351	741	378	1

#fly tail right bottom
10064	771	351	793	379	1

#turning left
10065	91	634	115	662	0
#turning right
10066	331	634	355	662	0
#runleft
10067	183	350	207	378	1
10068	209	350	233	378	1
10069	235	350	259	377	1

#run right 
10070	849	351	873	379	1
10071	823	351	847	379	1
10072	797	351	820	378	1

# is jumping left 
10073	131	350	154	377	1
10074	157	350	179	378	1
# is jum right 
10075	902	351	925	378	1
10076	877	351	899	378	1
#spin left 
10077	375	350	398	378	1
#spin right 
10078	658	351	681	379	1
#									FIRE MARIO 
#static
10079	213	265	229	292	1
#idle left
10080	1	265	15	292	1
#idle right 
10081	1041	266	1055	293	1
#walk left
10082	19	265	35	292	1
10083	37	265	53	292	1
#walk right 
10084	1021	266	1037	293	1
10085	1003	266	1019	293	1
#run left 
10086	91	265	110	292	1
10087	117	265	136	292	1
10088	143	265	162	291	1
#run right 
10089	946	266	965	293	1
10090	920	266	939	293	1
10091	894	266	913	292	1
#brake left 
10092	195	264	211	292	1
#brake right 
10093	845	265	861	293	1
#jump left 
10094	73	265	89	291	1
#jump right 
10095	967	266	983	292	1
#fire left 
10096	209	299	223	326	1
#fire right 
10097	833	300	847	327	1


#BRICK
20001	324	171	340	187	30

#CHIMNEY
#green
80002	324	52	340	68	30
80003	341	52	357	68	30
#width 15, height 16
80004	325	69	340	85	30
80005	341	69	357	85	30
#black dung 
80006	427	275	443	291	30
80007	444	275	460	291	30
80008	427	292	443	308	30
80009	444	292	460	308	30

#black ngang 
80010	461	275	477	291	30
80011	478	275	494	291	30
80012	461	292	477	308	30
80013	478	292	494	308	30


#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	157	188	173	204	90
40002	176	188	192	204	90
40003	196	188	212	204	90
40004	215	188	231	204	90
40005	235	188	251	204	90
						
						
#newBrick
90001	443	239	459	255	30
90002	426	239	442	255	30
90003	426	256	442	278	30
90004	443	256	459	278	30



#bigTree
100001	138	1	153	17	30
100002	154	1	169	17	30
100003	137	18	153	34	30
100004	154	18	170	34	30
100005	137	35	153	51	30
100006	154	35	170	51	30
100007	137	52	153	68	30 

#Coin
110001	294	101	302	115	90
110002	311	101	312	115	90
110003	321	101	325	115	90
110004	334	100	348	116	90
110005	357	100	363	116	90
110006	372	100	382	116	90

#RedBrick
120001	1	52	17	68	30
120002	18	52	35	68	30
120003	35	52	51	68	30
120004	1	69	17	85	30
120005	18	69	35	85	30
120006	35	69	51	85	30
120007	1	86	17	103	30
120008	17	86	35	102	30
120009	35	86	51	102	30

#blueBrick
130001	52	52	68	68	30
130002	69	52	85	68	30
130003	86	52	102	68	30
130004	52	69	68	85	30	
130005	69	69	85	85	30
130006	86	69	102	85	30
130007	52	86	68	102	30
130008	69	86	85	102	30	
130009	86	86	102	102	30

#shadow
140001	103	77	111	95	30
140002	103	86	111	102	30
140003	103	103	111	111	30
140004	86	102	103	111	30
140005	77	95	103	108	30

#greenBrick 
150001	52	1	68	17	30
150002	69	1	85	17	30
150003	86	1	102	17	30
150004	52	18	68	34	30
150005	69	18	85	34	30
150006	86	18	102	34	30
150007	52	35	68	51	30	
150008	69	35	85	51	30
150009	86	35	102	51	30

#whiteBrick
160001	1	1	17	17	30
160002	18	1	34	17	30
160003	35	1	51	17	30
160004	1	18	17	34	30
160005	18	18	34	34	30
160006	35	18	51	34	30
160007	1	35	17	51	30
160008	18	35	34	51	30
160009	35	35	51	51	30
 #brickCoin
 170001	273	154	289	170	30
 #blueBrick
 170002	290	188	306	204	30
 #smallTree
 180001	222	205	238	223	30
 
 #bigCloudtype2
190001	120	273	168	296	60
#bigcloudtype3
190002	728	305	792	328	60
#bigCloudtype1
190003	188	189	204	204	30
190004	205	189	221	204	30
190005	189	205	204	213	30
190006	205	205	220	212	30


#smallCloud
200001	222	188	238	204	30

#blue "P"
210001	324	239	340	255	30
 #level mushroom
 210002	156	121	178	137	90
 
#blueMusroom
220001	137	137	153	153	30

#GREEN KOOPAS
#walk left
230001	205	191	221	217	70
230002	222	191	238	217	70
#walk right
230003	187	191	202	217	70
230004	170	191	185	217	70
#die
230005	152	202	168	217	70
#renew 
230006	222	381	276	429	80

#running shell
230007	256	202	272	218	70
230008	273	202	289	218	70
230009	290	202	306	218	70
#hold 
230010	239	202	255	218	70

#==== GREEN FLOWER === 
#left
240001	324	91	340	123	100
240002	307	91	323	123	100
#right
240003	194	91	210	123	110
240004	211	91	227	123	110

#+++FIRE for mario +++#
#fire 
250001	245	306	253	314	1
250002	255	305	263	314	1
250003	265	306	273	314	1
250004	275	306	283	314	1

#-------END SCENCE------------
260001	4	4	252	173	120
#hinh rang cua
260002	508	176	596	345	120

#star portal 
260004	379	347	405	373	120
#-------SKY OBJECT BACKROUND
#mushroom
270001	257	373	273	389	120
#tree
270002	277	374	293	391	120
#star 
270003	297	373	313	389	120


#======HUB=============
#HUB 
#frame 
280001	11	127	165	157	130
#M letter
280002	16	161	32	168	130
#white P
280003	73	162	88	169	130
#black P
280004	100	162	115	169	130
#white arrow
280005	64	162	72	169	130
#black arrow 
280006	91	162	99	169	130
#frame card
280007	169	128	193	156	130
#mushroom framecard 
280008	183	159	207	187	130
#tree framecard 
280009	208	159	232	187	130
#star framecard 
280010	233	159	257	187	130
#point 100
280011	61	89	72	97	130
#point	200
280012	75	89	87	97	130
#point	400
280013	90	89	102	97	130
#point	800
280014	105	89	117	97	130
#point	1000
280015	120	89	135	97	130
#point	2000
280016	138	89	154	97	130
#point	4000
280017	157	89	173	97	130
#point	8000
280018	176	89	192	97	130
#point 1VP
280019	195	89	211	97	130
#NUMBER 0
280020	77	31	85	38	130
#NUMBER1
280021	88	31	96	38	130
#NUMBER 2
280022	97	31	105	38	130
#NUMBER 3
280023	107	31	115	38	130
#NUMBER 4
280024	117	31	125	38	130
#NUMBER 5
280025	127	31	135	38	130
#NUMBER 6
280026	137	31	145	38	130
#NUMBER 7
280027	147	31	155	38	130
#NUMBER 8
280028	157	31	165	38	130
#NUMBER 9
280029	167	31	175	38	130
#TEXT a
280030	177	31	185	38	130
#TEXT	B
280031	187	31	195	38	130
#TEXT C
280032	77	41	85	48	130
#TEXT D
280033	88	41	96	48	130
#TEXT E
280034	97	41	105	48	130
#TEXT	F
280035	107	41	115	48	130
#TEXT G
280036	117	41	125	48	130
#TEXT H
280037	127	41	135	48	130
#TEXT I
280038	137	41	145	48	130
#TEXT J
280039	147	41	155	48	130
#TEXT K 
280040	157	41	165	48	130
#TEXT L
280041	167	41	175	48	130
#TEXT M
280042	177	41	185	48	130
#TEXT N
280043	187	41	195	48	130
#TEXT O
280044	77	51	85	58	130
#TEXT P
280045	88	51	96	58	130
#TEXT Q
280046	97	51	105	58	130
#TEXT R
280047	107	51	115	58	130
#TEXT S
280048	117	51	125	58	130
#TEXT T
280049	127	51	135	58	130
#TEXT U
280050	137	51	145	58	130
#TEXT V
280051	147	51	155	58	130
#TEXT W
280052	157	51	165	58	130
#TEXT X
280053	167	51	175	58	130
#TEXT Y
280054	177	51	185	58	130
#TEXT Z
280055	187	51	195	58	130
#black backround for hub 
280056	0	0	850	250	140

#=====SHOOTING RED TREE
#LEFT  
290001	341	41	357	73	1
290002	358	41	374	73	1
#RIGHT 
290003	476	40	492	72	1
290004	493	40	509	72	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#NOTHING
0909	090909	100

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#brake left small
504	10034	100
#brake right small
505	10035	100
#jump left small
506	10036	100
#jump right small
507	10037	100
#die
599	10099	100
#run right big
404	10004	100	10005	100	10006	100
#brake right big 
405	10007	100
#run left big
406	10014	100	10015	100	10016	100
#brake left big
407	10017	100
#jump right big
408	10008	100
#jump left big
409	10018	100
#hold koopa
#idle left 
438	100101	100
#idle right 
439	100102	100
#walk left 
440	100103	100	100104	100
#walk right 
441	100105	100	100106	100
#jump left 
442	100107	100
#jump right
443	100108	100


#=====TAIL MARIO+++++++
#static 
